年齢,性別,酒嗜好,予算,距離,クーポン利用,SNS利用頻度,映画鑑賞,スポーツ観戦,読書習慣,旅行頻度,ゲーム利用,ペット飼育,音楽鑑賞,健康志向,EC利用,コーヒー嗜好,来店意向
40代,男性,嫌い,普通,遠い,利用しない,非常に高い,月1回,興味なし,毎週読む,頻繁,しない,複数匹,時々聞く,低い,利用しない,飲まない,ない
50代,女性,嫌い,低い,近い,利用しない,低い,見ない,よく見る,ほぼ読まない,行かない,しない,飼っていない,常に聞く,低い,利用しない,かなり好き,ない
40代,男性,普通,普通,遠い,利用しない,低い,月1回,興味なし,毎週読む,行かない,しない,飼っていない,時々聞く,低い,利用しない,飲まない,ない
20代,女性,好き,高い,遠い,利用しない,低い,週1回以上,よく見る,ほぼ読まない,頻繁,しない,飼っていない,あまり聞かない,非常に高い,利用しない,飲まない,ある
30代,女性,普通,高い,近い,利用しない,低い,年数回,たまに見る,ほぼ読まない,年1回,しない,複数匹,あまり聞かない,低い,利用しない,飲まない,ある
50代,女性,嫌い,低い,普通,利用しない,低い,週1回以上,興味なし,ほぼ読まない,行かない,しない,飼っていない,あまり聞かない,低い,利用しない,時々飲む,ない
20代,男性,普通,低い,普通,ほぼ毎日,非常に高い,見ない,興味なし,ほぼ読まない,行かない,しない,過去に飼育,あまり聞かない,高い,利用しない,飲まない,ある
50代,男性,好き,普通,普通,利用しない,低い,見ない,たまに見る,ほぼ読まない,行かない,毎日,飼っていない,あまり聞かない,低い,利用しない,時々飲む,ある
40代,男性,好き,高い,普通,ほぼ毎日,高い,見ない,よく見る,ほぼ読まない,行かない,しない,飼っていない,あまり聞かない,普通,利用しない,時々飲む,ない
30代,女性,好き,普通,遠い,利用しない,低い,見ない,興味なし,月数冊,行かない,しない,飼っていない,あまり聞かない,低い,利用しない,飲まない,ない
30代,女性,普通,普通,普通,利用しない,低い,週1回以上,よく見る,ほぼ読まない,年数回,しない,過去に飼育,あまり聞かない,低い,利用しない,飲まない,ない
30代,男性,嫌い,低い,遠い,月1回,低い,見ない,興味なし,ほぼ読まない,行かない,しない,飼っていない,毎日聞く,低い,利用しない,かなり好き,ない
30代,女性,好き,高い,普通,ほぼ毎日,低い,見ない,たまに見る,月数冊,行かない,たまに,飼っていない,あまり聞かない,低い,利用しない,飲まない,ある
30代,女性,好き,低い,普通,利用しない,低い,見ない,興味なし,ほぼ読まない,行かない,しない,飼っていない,あまり聞かない,低い,利用しない,毎日飲む,ある
30代,女性,好き,普通,遠い,週1回,低い,見ない,興味なし,毎週読む,行かない,しない,飼っていない,あまり聞かない,低い,月1回,飲まない,ある
40代,女性,普通,普通,近い,利用しない,低い,見ない,興味なし,ほぼ読まない,行かない,しない,飼っていない,あまり聞かない,低い,利用しない,飲まない,ある
50代,女性,嫌い,高い,遠い,ほぼ毎日,非常に高い,年数回,興味なし,ほぼ読まない,年1回,しない,飼っていない,あまり聞かない,低い,利用しない,毎日飲む,ない
40代,女性,嫌い,高い,遠い,ほぼ毎日,普通,見ない,興味なし,月1冊,年1回,よくする,飼っていない,時々聞く,低い,利用しない,飲まない,ない
40代,男性,好き,普通,遠い,利用しない,低い,見ない,興味なし,ほぼ読まない,頻繁,しない,1匹,あまり聞かない,低い,利用しない,飲まない,ない
50代,男性,好き,低い,普通,ほぼ毎日,非常に高い,見ない,興味なし,毎週読む,行かない,しない,飼っていない,時々聞く,低い,利用しない,時々飲む,ない
20代,女性,普通,高い,普通,利用しない,低い,見ない,興味なし,月数冊,行かない,しない,飼っていない,あまり聞かない,高い,月数回,飲まない,ない
20代,男性,好き,普通,遠い,利用しない,低い,月1回,興味なし,月数冊,頻繁,しない,飼っていない,常に聞く,低い,利用しない,毎日飲む,ある
40代,男性,普通,低い,普通,利用しない,高い,週1回以上,興味なし,ほぼ読まない,行かない,しない,飼っていない,あまり聞かない,低い,利用しない,かなり好き,ない
20代,女性,普通,低い,遠い,利用しない,低い,見ない,興味なし,ほぼ読まない,行かない,しない,過去に飼育,あまり聞かない,非常に高い,利用しない,飲まない,ない
20代,女性,普通,高い,遠い,利用しない,低い,月1回,興味なし,ほぼ読まない,年1回,たまに,飼っていない,あまり聞かない,低い,利用しない,飲まない,ある
30代,女性,嫌い,高い,遠い,月1回,高い,年数回,興味なし,ほぼ読まない,年数回,しない,1匹,時々聞く,普通,月数回,飲まない,ない
30代,女性,嫌い,普通,普通,利用しない,非常に高い,見ない,よく見る,ほぼ読まない,頻繁,たまに,飼っていない,あまり聞かない,普通,利用しない,毎日飲む,ない
50代,男性,嫌い,普通,普通,利用しない,高い,見ない,興味なし,毎週読む,行かない,たまに,飼っていない,あまり聞かない,低い,月数回,時々飲む,ない
40代,女性,嫌い,普通,近い,利用しない,普通,月1回,興味なし,ほぼ読まない,行かない,しない,飼っていない,あまり聞かない,低い,利用しない,毎日飲む,ない
30代,女性,普通,高い,近い,利用しない,低い,見ない,興味なし,ほぼ読まない,行かない,しない,飼っていない,毎日聞く,低い,利用しない,飲まない,ない
30代,男性,嫌い,普通,近い,利用しない,普通,週1回以上,興味なし,ほぼ読まない,年1回,しない,飼っていない,あまり聞かない,低い,利用しない,飲まない,ある
20代,男性,好き,普通,普通,利用しない,低い,見ない,熱心,ほぼ読まない,行かない,しない,複数匹,あまり聞かない,低い,利用しない,飲まない,ある
20代,男性,嫌い,高い,普通,利用しない,低い,週1回以上,たまに見る,ほぼ読まない,行かない,しない,過去に飼育,毎日聞く,非常に高い,週1回以上,飲まない,ない
20代,女性,普通,普通,遠い,利用しない,低い,見ない,たまに見る,ほぼ読まない,年1回,しない,1匹,時々聞く,低い,利用しない,飲まない,ある
40代,男性,普通,普通,近い,月1回,低い,見ない,興味なし,ほぼ読まない,頻繁,しない,過去に飼育,あまり聞かない,低い,週1回以上,飲まない,ある
20代,男性,嫌い,低い,近い,ほぼ毎日,非常に高い,見ない,興味なし,毎週読む,行かない,しない,1匹,常に聞く,非常に高い,利用しない,飲まない,ない
30代,女性,普通,普通,遠い,ほぼ毎日,普通,見ない,熱心,ほぼ読まない,行かない,しない,1匹,毎日聞く,高い,利用しない,毎日飲む,ない
20代,女性,普通,高い,普通,利用しない,低い,見ない,興味なし,月数冊,行かない,しない,1匹,あまり聞かない,低い,利用しない,飲まない,ある
50代,女性,普通,高い,近い,利用しない,低い,月1回,興味なし,ほぼ読まない,行かない,たまに,過去に飼育,常に聞く,非常に高い,月数回,飲まない,ない
20代,女性,好き,低い,遠い,利用しない,低い,月1回,たまに見る,ほぼ読まない,行かない,しない,飼っていない,あまり聞かない,非常に高い,月数回,飲まない,ない
30代,男性,好き,低い,近い,月1回,高い,週1回以上,興味なし,月1冊,年数回,しない,飼っていない,時々聞く,低い,利用しない,飲まない,ある
50代,男性,嫌い,普通,遠い,月1回,低い,見ない,興味なし,ほぼ読まない,行かない,しない,過去に飼育,あまり聞かない,低い,週1回以上,毎日飲む,ない
30代,男性,好き,高い,近い,月1回,低い,見ない,興味なし,ほぼ読まない,行かない,よくする,飼っていない,あまり聞かない,低い,月1回,飲まない,ある
50代,男性,普通,低い,遠い,週1回,低い,見ない,興味なし,ほぼ読まない,行かない,しない,飼っていない,あまり聞かない,低い,週1回以上,毎日飲む,ない
40代,女性,普通,普通,普通,利用しない,低い,週1回以上,興味なし,ほぼ読まない,行かない,しない,飼っていない,あまり聞かない,低い,利用しない,毎日飲む,ない
40代,女性,嫌い,低い,遠い,週1回,低い,年数回,興味なし,毎週読む,頻繁,たまに,飼っていない,毎日聞く,低い,利用しない,飲まない,ない
20代,女性,普通,高い,近い,利用しない,低い,見ない,興味なし,ほぼ読まない,行かない,しない,複数匹,あまり聞かない,低い,利用しない,飲まない,ある
30代,女性,普通,普通,遠い,利用しない,低い,見ない,たまに見る,ほぼ読まない,頻繁,しない,飼っていない,あまり聞かない,低い,利用しない,毎日飲む,ない
30代,男性,好き,低い,近い,週1回,低い,月1回,興味なし,月1冊,年数回,しない,飼っていない,あまり聞かない,低い,利用しない,飲まない,ない
50代,男性,好き,普通,普通,利用しない,非常に高い,見ない,熱心,ほぼ読まない,行かない,しない,飼っていない,あまり聞かない,低い,利用しない,かなり好き,ない
30代,女性,嫌い,低い,普通,月1回,高い,見ない,たまに見る,ほぼ読まない,行かない,しない,複数匹,あまり聞かない,低い,週1回以上,飲まない,ない
40代,男性,好き,普通,普通,ほぼ毎日,低い,週1回以上,熱心,ほぼ読まない,行かない,たまに,飼っていない,あまり聞かない,低い,利用しない,飲まない,ある
20代,女性,普通,低い,普通,利用しない,低い,見ない,興味なし,ほぼ読まない,年1回,しない,複数匹,あまり聞かない,普通,週1回以上,飲まない,ある
30代,男性,普通,低い,普通,月1回,低い,見ない,興味なし,ほぼ読まない,行かない,毎日,飼っていない,時々聞く,低い,利用しない,毎日飲む,ない
30代,女性,好き,低い,近い,利用しない,低い,見ない,興味なし,月数冊,行かない,しない,飼っていない,あまり聞かない,低い,利用しない,飲まない,ある
20代,男性,普通,低い,近い,利用しない,低い,見ない,興味なし,ほぼ読まない,年数回,しない,複数匹,あまり聞かない,低い,利用しない,飲まない,ある
50代,男性,好き,普通,普通,週1回,低い,見ない,興味なし,毎週読む,行かない,しない,飼っていない,あまり聞かない,普通,週1回以上,飲まない,ない
30代,女性,好き,低い,普通,ほぼ毎日,低い,月1回,興味なし,ほぼ読まない,行かない,しない,複数匹,あまり聞かない,低い,利用しない,飲まない,ある
50代,女性,好き,普通,普通,ほぼ毎日,低い,見ない,たまに見る,ほぼ読まない,年1回,しない,飼っていない,あまり聞かない,低い,利用しない,飲まない,ある
40代,女性,普通,高い,普通,月1回,高い,見ない,興味なし,ほぼ読まない,行かない,しない,飼っていない,毎日聞く,高い,利用しない,飲まない,ある
40代,女性,普通,普通,遠い,週1回,低い,見ない,興味なし,ほぼ読まない,行かない,しない,複数匹,常に聞く,低い,利用しない,飲まない,ない
40代,男性,嫌い,低い,近い,週1回,低い,見ない,たまに見る,ほぼ読まない,行かない,毎日,飼っていない,あまり聞かない,低い,利用しない,飲まない,ある
40代,男性,好き,高い,遠い,利用しない,非常に高い,見ない,熱心,ほぼ読まない,行かない,しない,1匹,あまり聞かない,低い,利用しない,飲まない,ある
20代,女性,好き,低い,近い,利用しない,低い,見ない,興味なし,ほぼ読まない,行かない,毎日,1匹,毎日聞く,低い,利用しない,飲まない,ある
30代,女性,嫌い,低い,普通,利用しない,低い,見ない,興味なし,ほぼ読まない,年数回,しない,飼っていない,あまり聞かない,高い,利用しない,飲まない,ない
20代,男性,好き,普通,遠い,月1回,低い,見ない,たまに見る,月数冊,頻繁,しない,飼っていない,あまり聞かない,低い,月数回,飲まない,ある
30代,女性,普通,普通,近い,月1回,非常に高い,見ない,興味なし,ほぼ読まない,頻繁,しない,1匹,あまり聞かない,低い,利用しない,かなり好き,ある
20代,男性,嫌い,低い,遠い,月1回,低い,年数回,よく見る,月1冊,行かない,たまに,飼っていない,あまり聞かない,低い,週1回以上,時々飲む,ない
